file_path,predicted_mos
Elise_audio/Elise-data-train-00000-of-00001_0.mp3,2.048828125
Elise_audio/Elise-data-train-00000-of-00001_0.wav,1.9228515625
Elise_audio/Elise-data-train-00000-of-00001_1.mp3,1.6611328125
Elise_audio/Elise-data-train-00000-of-00001_1.wav,1.744140625
Elise_audio/Elise-data-train-00000-of-00001_10.mp3,2.642578125
Elise_audio/Elise-data-train-00000-of-00001_10.wav,2.791015625
Elise_audio/Elise-data-train-00000-of-00001_100.mp3,2.009765625
Elise_audio/Elise-data-train-00000-of-00001_100.wav,2.181640625
Elise_audio/Elise-data-train-00000-of-00001_1000.mp3,1.9228515625
Elise_audio/Elise-data-train-00000-of-00001_1000.wav,2.1875
Elise_audio/Elise-data-train-00000-of-00001_1001.mp3,0.9775390625
Elise_audio/Elise-data-train-00000-of-00001_1001.wav,1.0283203125
Elise_audio/Elise-data-train-00000-of-00001_1002.mp3,1.9287109375
Elise_audio/Elise-data-train-00000-of-00001_1002.wav,2.0546875
Elise_audio/Elise-data-train-00000-of-00001_1003.mp3,1.9970703125
Elise_audio/Elise-data-train-00000-of-00001_1003.wav,1.9951171875
Elise_audio/Elise-data-train-00000-of-00001_1004.mp3,2.83203125
Elise_audio/Elise-data-train-00000-of-00001_1004.wav,2.935546875
Elise_audio/Elise-data-train-00000-of-00001_1005.mp3,1.6044921875
Elise_audio/Elise-data-train-00000-of-00001_1005.wav,1.8056640625
Elise_audio/Elise-data-train-00000-of-00001_1006.mp3,2.2265625
Elise_audio/Elise-data-train-00000-of-00001_1006.wav,2.357421875
Elise_audio/Elise-data-train-00000-of-00001_1007.mp3,2.52734375
Elise_audio/Elise-data-train-00000-of-00001_1007.wav,2.66015625
Elise_audio/Elise-data-train-00000-of-00001_1008.mp3,2.49609375
Elise_audio/Elise-data-train-00000-of-00001_1008.wav,2.62890625
Elise_audio/Elise-data-train-00000-of-00001_1009.mp3,1.068359375
Elise_audio/Elise-data-train-00000-of-00001_1009.wav,1.1376953125
Elise_audio/Elise-data-train-00000-of-00001_101.mp3,2.060546875
Elise_audio/Elise-data-train-00000-of-00001_101.wav,2.18359375
Elise_audio/Elise-data-train-00000-of-00001_1010.mp3,2.216796875
Elise_audio/Elise-data-train-00000-of-00001_1010.wav,2.244140625
Elise_audio/Elise-data-train-00000-of-00001_1011.mp3,2.271484375
